name,team,position,cost,status,minutes,total_points,bonus,points_per_game,selected_by_percent
Fábio Vieira,ARS,MID,5.4,NotAvail,0,0,0,0.0,0.0
G.Jesus,ARS,FWD,6.8,Doubtful,5,0,0,0.0,0.9
Gabriel,ARS,DEF,6.0,Available,270,14,1,4.7,12.5
Havertz,ARS,FWD,8.1,Available,270,22,5,7.3,18.0
Hein,ARS,GKP,4.0,NotAvail,0,0,0,0.0,0.1
J.Timber,ARS,DEF,5.5,Available,178,8,0,2.7,1.0
Jorginho,ARS,MID,4.9,Available,0,0,0,0.0,0.3
Kiwior,ARS,DEF,4.9,Available,0,0,0,0.0,0.2
Martinelli,ARS,MID,6.9,Available,170,7,0,2.3,2.2
Nwaneri,ARS,MID,4.5,Available,0,0,0,0.0,0.2
Ødegaard,ARS,MID,8.4,Available,253,7,0,2.3,10.7
Raya,ARS,GKP,5.5,Available,270,20,4,6.7,28.4
Rice,ARS,MID,6.4,Suspended,222,3,0,1.0,3.8
Saka,ARS,MID,10.1,Available,256,24,3,8.0,32.5
Saliba,ARS,DEF,6.0,Available,270,14,0,4.7,38.3
Thomas,ARS,MID,5.0,Available,270,15,3,5.0,1.5
Tierney,ARS,DEF,4.4,Injured,0,0,0,0.0,0.0
Tomiyasu,ARS,DEF,4.9,Injured,0,0,0,0.0,0.0
Trossard,ARS,MID,6.9,Available,93,9,1,3.0,1.9
White,ARS,DEF,6.5,Available,270,14,0,4.7,9.0
Zinchenko,ARS,DEF,5.0,Available,78,7,0,3.5,2.4
Neto,ARS,GKP,4.5,Available,180,7,0,3.5,2.0
Sterling,ARS,MID,6.8,Available,0,0,0,0.0,1.2
Calafiori,ARS,DEF,5.8,Available,42,2,0,1.0,1.7
Lewis-Skelly,ARS,MID,4.5,Available,0,0,0,0.0,0.1
Merino,ARS,MID,6.0,Injured,0,0,0,0.0,0.0
Oulad M'hand,ARS,MID,4.5,Available,0,0,0,0.0,0.0
Setford,ARS,GKP,4.5,Available,0,0,0,0.0,0.0
Bailey,AVL,MID,6.4,Doubtful,178,4,0,1.3,2.4
Barkley,AVL,MID,5.3,Available,42,2,0,1.0,0.5
Barrenechea,AVL,MID,4.9,NotAvail,0,0,0,0.0,0.0
Buendia,AVL,MID,5.4,Available,0,0,0,0.0,0.1
Cash,AVL,DEF,4.4,Injured,96,3,0,1.5,1.9
